番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
156,encroach,verb,/ɪnˈkroʊtʃ/,侵入する、徐々に侵害する,to gradually enter or take over space or rights,土地・権利・時間などに少しずつ入り込んで悪影響を与える時に使う。通常 “encroach on/upon” の形。,encroach on habitats / encroach on farmland / encroach on privacy / urban areas encroach on forests,Urban development can encroach on wildlife habitats.,都市開発は野生動物の生息地に侵入する可能性がある。,invade; intrude on; take over; interfere with,Task 2のenvironmentやprivacy topicで使える。“encroach on” で覚える。
157,prolonged,adjective,/prəˈlɔːŋd/,長引いた、長期間の,continuing for a long time,"悪い状況や負担が長く続く時によく使う。drought, stress, exposure, unemploymentなどと相性がよい。",prolonged drought / prolonged exposure / prolonged stress / prolonged unemployment,Prolonged drought can seriously damage agricultural production.,長引く干ばつは農業生産に深刻な被害を与える可能性がある。,long-term; extended; lengthy; continuing,Task 2のenvironment・health・work topicで便利。
158,mitigate,verb,/ˈmɪtɪɡeɪt/,軽減する、和らげる,to make a problem less severe,問題を完全に解決するのではなく、悪影響を小さくする時に使う。climate changeやpovertyなどの文脈で頻出。,mitigate climate change / mitigate risks / mitigate negative effects / mitigate damage,Planting trees can help mitigate the effects of climate change.,植樹は気候変動の影響を軽減するのに役立つ。,reduce; alleviate; lessen; ease,Task 2のsolution paragraphで非常に使いやすい。
159,catastrophic,adjective,/ˌkætəˈstrɑːfɪk/,壊滅的な、悲惨な,causing very serious damage,災害・環境破壊・経済危機など、非常に深刻な被害を表す強い語。大げさに使いすぎないことが大切。,catastrophic consequences / catastrophic damage / catastrophic failure / catastrophic impact,Uncontrolled climate change could have catastrophic consequences for coastal cities.,制御されない気候変動は沿岸都市に壊滅的な結果をもたらす可能性がある。,devastating; disastrous; severe; destructive,Task 2で強い警告を述べる時に使える。
160,Public perception,noun,/ˈpʌblɪk pərˈsepʃən/,世間の認識、社会の受け止め方,how the public sees or understands something,政策・技術・環境問題などについて、人々がどう感じたり理解したりしているかを表す。Task 2で世論や受容性を説明する時に便利。,public perception of risk / shape public perception / change public perception / negative public perception,Public perception of nuclear energy has changed after several major accidents.,原子力エネルギーに対する世間の認識は、いくつかの大事故の後に変化した。,public opinion; social attitude; public view; common perception,Task 2のtechnology・energy・policy topicで使いやすい。
161,trajectory,noun,/trəˈdʒektəri/,軌道、進路、変化の方向,the path or direction of development,物理的な軌道だけでなく、経済・人生・キャリア・社会変化の方向性にも使う。やや高度でフォーマル。,career trajectory / growth trajectory / development trajectory / change trajectory,The country’s economic trajectory depends on investment in education and technology.,その国の経済の進路は、教育と技術への投資に左右される。,path; course; direction; trend,Task 1では傾向、Task 2では発展の方向性に使える。
162,equitable,adjective,/ˈekwɪtəbl/,公平な、公正な,fair and just,単なる “equal” ではなく、状況に応じて公平に資源や機会を分配するニュアンスがある。教育・医療・社会制度の話題で便利。,equitable access / equitable distribution / equitable society / equitable solution,Governments should ensure equitable access to quality education.,政府は質の高い教育への公平なアクセスを保証すべきである。,fair; just; impartial; balanced,Task 2のinequalityやeducation topicで非常に使いやすい。
163,affluent,adjective,/ˈæfluənt/,裕福な、豊かな,rich and having a lot of money,人・家庭・地域・国が経済的に豊かであることを表す。“rich” よりフォーマル。,affluent families / affluent countries / affluent neighbourhoods / less affluent groups,Children from affluent families often have more educational opportunities.,裕福な家庭の子どもは、より多くの教育機会を持つことが多い。,wealthy; rich; prosperous; well-off,Task 2のinequality topicで便利。“less affluent” も使いやすい。
164,reap,verb,/riːp/,得る、収穫する,to receive benefits or results,元々は作物を収穫する意味だが、IELTSでは “reap benefits” の形で「利益を得る」としてよく使う。,reap benefits / reap rewards / reap the advantages / reap economic gains,Countries that invest in education can reap long-term economic benefits.,教育に投資する国は長期的な経済的利益を得ることができる。,gain; obtain; receive; benefit from,Task 2で “reap the benefits of...” が便利。
165,underscore,verb,/ˌʌndərˈskɔːr/,強調する、明確に示す,to emphasize or show clearly,重要性や問題点を強調する時に使うフォーマルな語。“highlight” に近く、Writing向き。,underscore the importance of / underscore the need for / underscore a problem / underscore the role of,The pandemic underscored the importance of strong healthcare systems.,パンデミックは強力な医療制度の重要性を明確に示した。,highlight; emphasize; stress; underline,Task 2で “This underscores the need for...” が使いやすい。
